director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,language,imdb_score,title_year,color
Evaleen Heister,Flo Dimic,Drama|Fantasy,Penni Littleover,Three Wishes,Toby Flott,Implemented,Yiddish,36,2007,Color
Ddene Cromblehome,Felicle Lyness,Comedy|Drama,Merrie Soans,Prom,Cheryl Cohani,contextually-based,French,3,2011,Color
Seymour O Sullivan,Naomi Heaford,Documentary,Gerta Keohane,Punksters & Youngsters (Punk - Tauti joka ei tapa),Betteanne Del Castello,incremental,Burmese,35,1995,Color
Vaclav Esh,Roslyn Poundford,Comedy|Drama,Jacquette Hammor,"Look of Love, The",Francisca Lagde,standardization,Kurdish,31,1997,Color
Tommie Imlach,Tarra Tutin,Adventure|War|Western,Waylon Ferrai,Major Dundee,Bart Carreyette,Open-architected,Kyrgyz,33,1992,Color
Kelcey Weyland,Flori Marklin,Crime|Film-Noir|Mystery|Thriller,Eldredge Farrington,Chase a Crooked Shadow,Beau Caswell,Open-source,Bislama,93,2000,Color
Em Stiller,Nicolai MacGebenay,Drama,Maje Blazewicz,Liverpool,Alfy Stanton,mission-critical,Hebrew,57,2005,Color
Rice McGuggy,Marys Sirrell,Children|Drama|Musical,Roxine Simenot,1776,Krishna Dimic,Operative,Albanian,23,1994,Color
Leilah Delaprelle,Octavia Swaite,Comedy,Ryann Norcliffe,"Flying Deuces, The",Laurella Santus,structure,Portuguese,41,2002,Color
Hobart Arr,Pamella McBean,Horror,Vittorio Mattys,Hellraiser: Hellseeker,Bobbi Catherine,uniform,New Zealand Sign Language,81,2004,Color
Rasla Tolcharde,Minny Oliveira,Drama,Arlene Kinsell,"Accused, The",Vergil Dabnor,Synergistic,Hebrew,7,1989,Color
Clywd Kits,Wilone Southcombe,Action|War,Kristen Fawdrie,Casablanca Express,Nat Lowbridge,application,Zulu,13,2012,Color
Peyton Brislawn,Rona Eaglen,Horror|Sci-Fi,Reine Jacobsz,Village of the Damned,Dorice Foulgham,Assimilated,Pashto,31,2008,Color
Roxy Clearley,Vaughn Duchesne,Drama|Romance|War,Missie Bremmell,Pan Tadeusz: The Last Foray in Lithuania (Pan Tadeusz),Marrilee Lardge,Triple-buffered,Swahili,93,1997,Color
Hermy Monkleigh,Luise Westmerland,Action|Sci-Fi,Garrot Taggett,Space Amoeba (Yog: Monster from Space),Norbert McGowran,Profound,Indonesian,13,2010,Color
Gilberta Babar,Orv Jansky,Comedy|Drama,Ariella Pyper,Go Get Some Rosemary (Daddy Longlegs),Yves Turbefield,Switchable,French,59,1995,Color
Norrie Amer,Ardis Cardis,Sci-Fi,Georgette Huggan,Alien Nation: The Enemy Within,Caria Stych,didactic,Pashto,26,1989,Color
Hakim Nichol,Normie Chadderton,Comedy|Drama|Musical|Mystery,Oralle Elsip,Memories of Matsuko (Kiraware Matsuko no isshô),Berkly Oleksinski,interface,Kyrgyz,33,2004,Color
Sher Sheran,Henryetta Grandin,Drama|Thriller,Merilyn Scrimshaw,Gloria,Tessi Hissie,Compatible,Thai,69,1993,Color
Anabal Bulstrode,Barbee Kahn,Action|Drama,Delmer Matevushev,Rolling Thunder,Jenni Seaman,workforce,Belarusian,33,2012,Color
Trev Wycherley,Kikelia Stuckes,Action|Adventure|Animation|Comedy|Sci-Fi,Hollis Elmore,Dead Leaves,Adrian Loche,hierarchy,Assamese,69,2000,Color
Cassy Grioli,Jody Garroch,Documentary,Nelli Chuney,Galician Caress (Of Clay),Rivy Ridwood,instruction set,Chinese,91,2007,Color
Gearalt Dawkins,Ursala Paoletti,Documentary|Musical|IMAX,Micaela Thorius,Shine a Light,Ursula Brinicombe,cohesive,Fijian,94,1996,Color
Fergus Tinsey,Gregory Thouless,Comedy|Drama|Mystery|Romance,Tommy Toone,Penguin Pool Murder,Kris Wrightam,asymmetric,Finnish,61,1992,Color
Vittorio Eltringham,Ferrel Bende,Drama|Romance,Norry O'Moylane,No Looking Back,Sal Gannan,Synergistic,Azeri,36,1993,Color
Aluino Cristou,Catherina Raitie,Comedy|Documentary,Silas Marien,Drunk Stoned Brilliant Dead: The Story of the National Lampoon,Ardella Francke,matrix,Bengali,54,2009,Color
Killy Flawith,Herbert Atley,Action|Adventure|Drama|War,Barry Aliberti,Alexander,Hollie Werrit,system-worthy,Yiddish,54,1985,Color
Grayce Greensite,Tybie Rolls,Documentary,Cariotta Wadhams,Hospital,Lissie Laurisch,alliance,Afrikaans,72,2004,Color
Tersina Brixey,Lesli Schorah,Horror|Thriller,Fayre Ruusa,"Appeared, The (Aparecidos)",Patrica Calbert,Grass-roots,Dhivehi,81,2012,Color
Kara Gostick,Jackquelin Cabel,Drama,Rochella Rowbottom,The Savior,Val Urrey,didactic,Yiddish,98,2010,Color
Jethro Lascelles,Shannen Brinicombe,Adventure|Fantasy,Arny Luton,The Hobbit: The Battle of the Five Armies,Judi Pendrich,contextually-based,Spanish,93,2008,Color
Jarret Cutmare,Aloysia Le Prevost,Comedy|Drama,Caresse Layne,Hana and Alice (Hana to Arisu),Yurik Beastall,empowering,Papiamento,77,1984,Color
Malchy Knee,Jobyna Birth,Documentary,Ulick Stuckey,Overnight,Konstantine Loveman,local area network,Malay,46,2004,Color
Dewie Cuss,Etta Stanyer,Comedy,Haskell McCritichie,Four Christmases,Wallas Wherrit,local area network,Spanish,94,1995,Color
Gasparo La Padula,Chrisy Le Port,Drama|War,Doralynne Victor,"Travelling Players, The (O thiasos)",Corena Djurdjevic,policy,Lithuanian,40,1992,Color
Claude Kliment,Gayelord McDonell,Thriller,Ulrica Ponting,While She Was Out,Sloan Abbets,static,Arabic,18,1998,Color
Jinny Harflete,Mona Batey,Drama,Frannie Traske,"Isle, The (Seom)",Hayden Quinsee,empowering,Mongolian,75,1997,Color
Sibilla Paybody,Sherill Aylward,Adventure|Animation,Mackenzie Crippell,The Rabbi's Cat (Le chat du rabbin),Cully Sleicht,Streamlined,Romanian,43,2008,Color
Martita Malacrida,Crystal Guirau,Drama|Romance,Chadwick Cran,Not Easily Broken,Gilberto Bacup,knowledge user,Japanese,8,1993,Color
Asia Daulby,Fredra Wasling,Animation,Salomon Huck,Chainsaw Maid,Dena Danher,moderator,Bengali,21,1999,Color
Nikki Duce,Kenton Roberti,Drama,Lance Muddle,"Life and Nothing But (Vie et rien d'autre, La)",Inglebert Hitschke,middleware,Kyrgyz,94,2001,Color
Culver Caley,Oralla Bengochea,Comedy|Horror|Musical|Mystery|Romance,Valerie Perren,You'll Find Out,Maggy Scramage,function,Lao,93,2001,Color
Vania Josselsohn,Ross Daniells,Drama,Frank Lydford,Naturally Native,Caterina Varley,impactful,Arabic,86,2007,Color
Ileane Oby,Cally Jordin,Drama,Mendy Kamenar,"Married Woman, A (Une femme mariée)",Judith Gunbie,Multi-tiered,Dhivehi,5,1985,Color
Koenraad Beldam,Tarah Ravel,(no genres listed),Marabel Atton,Little Hamlet,Kore Lorrimer,Open-architected,Yiddish,36,1993,Color
Humfrey Prugel,Roanna Jump,Comedy,Kristo Brammall,"I Love You, Man",Viv Simonot,local,Pashto,4,1992,Color
Sena Skelly,Gilda Minnette,Drama,Brewer Meys,"Deal, The",Gwennie Landre,Total,Irish Gaelic,57,1990,Color
Shana Baldack,Langsdon Attkins,Drama|Thriller,Hy Pollie,Dangerous Moves (La diagonale du fou),Malena Darbey,architecture,Lithuanian,20,2007,Color
Guy Bandt,Carlie Houseman,Animation|Children|Drama|Musical|Romance,Beulah Pietri,"Hunchback of Notre Dame, The",Agnola Pusill,Advanced,Estonian,5,1993,Color
Lance Leftly,Britteny Raeside,Crime|Drama,Gunar Amys,"Informer, The",Eberto Neesham,focus group,Yiddish,35,2002,Color
Sherilyn Reveland,Loise Cowling,Comedy|Drama,Cathy Yarnall,"Last American Virgin, The",Erika Kosel,Total,Bosnian,55,2003,Color
Halsey Iozefovich,Willy Bushel,Fantasy|Horror,Lindsey Crummey,Screamtime,Leslie Howison,zero tolerance,Tamil,78,1997,Color
